P_Pa,D_at,T_at,I_at,G_at,D_wt%,T_wt%,I_wt%,G_wt%,T_rangeK,%FeO-Ol,solids-to-gas by mass,Run_ID
0.4,1000000,1,50000,1,9.46E+01,4.97E-05,5.40E+00,1.74E-02,2054-1600,0,5741,REE711nim
4,1000000,1,50000,1,9.46E+01,4.97E-05,5.40E+00,1.74E-02,2210-1700,0,5741,REE712nim
4,1000000,1000000,1000000,1,3.75E+01,1.97E+01,4.28E+01,6.90E-03,2050-1700,0,14481,REE713nim
4,1000,100,100,1,7.40E+01,3.89E+00,8.45E+00,1.36E+01,2010-1599,0,6,REE720nim
4,10000,500,500,1,9.08E+01,2.38E+00,5.18E+00,1.67E+00,2180-1323,0,59,REE721nim
4,10000,500,500,1,9.08E+01,2.38E+00,5.18E+00,1.67E+00,2180-1612,0,59,REE721nimBF
4,10000,10000,10000,1,3.72E+01,1.96E+01,4.25E+01,6.86E-01,1860-1430,~0.2-24.8,145,REE722Fnim
4,10000,10000,10000,1,3.72E+01,1.96E+01,4.25E+01,6.86E-01,2040-1700,~3.4-4.9,145,REE722nim
4,10000,10000,10000,1,3.72E+01,1.96E+01,4.25E+01,6.86E-01,~2040-1601,~19.9,145,REE722nimBF+
4,10000,1,1,1,9.82E+01,5.16E-03,1.12E-02,1.81E+00,2200-1293,0,54,REE723BnimS
4,10000,1,10000,1,4.63E+01,2.43E-03,5.28E+01,8.53E-01,2130-1300,0,116,REE724BnimS
4,10000,1,10000,1,4.63E+01,2.43E-03,5.28E+01,8.53E-01,2130-1635,0,116,REE724nimBF
4,10000,10000,10000,1,3.72E+01,1.96E+01,4.25E+01,6.86E-01,2040-1300,0,145,REE725BnimS
4,100000,100000,100000,1,3.75E+01,1.97E+01,4.28E+01,6.90E-02,2220-1600,0,1448,REE726BnimS
4,1000,1000,1000,1,3.51E+01,1.84E+01,4.00E+01,6.46E+00,1980-1660,0,14,REE727BnimS
4,1000000,1,1,1,1.00E+02,5.25E-05,1.14E-04,1.84E-02,2230-1690,~23.7,5431,REE728nimBF+
4,1000000,1,1,1,1.00E+02,5.25E-05,1.14E-04,1.84E-02,2230-1800,~6.4-23.7,5431,REE728BnimS
4,1000000,1,50000,1,9.46E+01,4.97E-05,5.40E+00,1.74E-02,2215-1256,0,5741,REE730BnimS
4,1000000,1,50000,1,9.46E+01,4.97E-05,5.40E+00,1.74E-02,2215-1609,0,5741,REE730nimBF
4,1000,100,1,1,8.08E+01,4.24E+00,9.22E-02,1.49E+01,2000-1601,0,6,REE737nim
4,1000,1,100,1,7.70E+01,4.04E-02,8.79E+00,1.42E+01,2030-1687,~3.8,6,REE738BnimS
4,1000,1,100,1,7.70E+01,4.04E-02,8.79E+00,1.42E+01,2030-1505,~8.2,6,REE738nimBF
4,100,1,100,1,2.51E+01,1.32E-01,2.86E+01,4.62E+01,1850-1446,~6.2,1,REE739nimBF+
4,100,1,25,1,3.19E+01,1.68E-01,9.11E+00,5.88E+01,~1820-1386,~1.9,1,REE740nimBF+
4,1000,1,50,1,8.05E+01,4.23E-02,4.59E+00,1.48E+01,~2030-1480,~5.7,6,REE741nimBF+
4,1000,1,1,1,8.43E+01,4.43E-02,9.62E-02,1.55E+01,~2020-1461,~3.1,5,REE742nimBF+
40,10000,1,1,1,9.82E+01,5.16E-03,1.12E-02,1.81E+00,2160-1721,0,54,REE734nim
40,10000,10000,10000,1,3.72E+01,1.96E+01,4.25E+01,6.86E-01,2190-1300,0,145,REE735nim
40,1000,1000,1000,1,3.51E+01,1.84E+01,4.00E+01,6.46E+00,2125-1364,0,14,REE736nim